Date of Inquiry,Date of Contact,Client Name,Phone Number,Email,Lead Status,Viewing Scheduled,Viewed,Follow-up Comment,Outcome
2025-02-11,2025-03-23,Jennifer Briggs,6118201774,lauren39@gmail.com,Cold,No,No,Agents,Still Deciding
2025-02-02,2025-03-14,George Peterson,103-991-5306,rrobinson@garcia.com,Warm,No,No,Did Not Pick,Still Deciding
2025-03-24,2025-03-26,Erika Henson,9822316785,michaelsimpson@gmail.com,Hot,No,No,Visited,Booked Another Visit
2025-02-25,2025-03-08,Teresa Brewer,001-656-115-5027x71664,mikebrown@guzman-mora.net,Cold,No,No,Not Interested,Still Deciding
2025-02-24,2025-03-07,Ryan Walker,+1-080-695-2894,michael92@walker-lopez.com,Cold,Yes,No,Visited,Still Deciding
2025-04-07,2025-04-07,Lisa Perkins,192.339.6585x983,mercedes76@burton-torres.com,Cold,No,No,Follow Up with Another Call,Booked Another Visit
2025-03-18,2025-04-05,Zachary Nelson,817-169-0720x78785,william99@jordan-potter.biz,Hot,Yes,Yes,Booked Site Visit,Purchased
2025-01-11,2025-03-09,Edward Camacho,(502)619-9672x294,cunninghamdonna@gmail.com,Warm,Yes,Yes,Sent Info via Email,Still Deciding
2025-01-27,2025-02-28,Joanna Thompson,494-805-2574x0698,meganevans@yahoo.com,Warm,Yes,No,Not Interested,Still Deciding
2025-02-18,2025-03-19,Emily Garrison,001-963-803-6544,jennifer08@gmail.com,Cold,Yes,Yes,Sent Info via Email,Still Deciding
2025-03-18,2025-03-22,Courtney Barnes,422.017.3958x0524,jwalker@nelson-velez.com,Cold,Yes,No,Other Interests,Booked Another Visit
2025-01-27,2025-02-04,Tyler Phillips,631-958-5445x56721,rebeccamartin@hotmail.com,Cold,No,No,Sent Info via Email,Purchased
2025-03-18,2025-04-06,Gene Parks,557.739.1642,david36@hotmail.com,Warm,No,No,Sent Info via Email,Still Deciding
2025-01-25,2025-02-05,Charles Gill,001-281-406-6463,alexandercolleen@wolfe-armstrong.net,Cold,Yes,Yes,Booked Site Visit,Not Interested
2025-03-19,2025-03-21,Valerie Fields,(568)866-7836,kelleylindsey@yahoo.com,Hot,Yes,Yes,Other Interests,Not Interested
2025-01-26,2025-03-14,Nicole Morales,7838012778,aaronbeasley@yahoo.com,Hot,Yes,No,Follow Up with Another Call,Not Interested
2025-02-21,2025-02-22,Crystal Pineda,+1-206-789-3778x654,harold83@hotmail.com,Cold,No,No,Booked Site Visit,Purchased
2025-03-16,2025-03-17,Brittany Nguyen,414-789-0822,amiller@hotmail.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-01-20,2025-01-27,Anthony Craig,(977)405-7459,andrea39@hotmail.com,Hot,Yes,Yes,Not Interested,Not Interested
2025-03-17,2025-03-22,Sara Jackson,6322461832,justin43@hotmail.com,Cold,No,No,Other Interests,Still Deciding
2025-03-23,2025-03-25,Taylor Anderson,732.755.6955x189,cruzdebbie@taylor.com,Cold,Yes,Yes,Follow Up with Another Call,Purchased
2025-03-13,2025-04-04,Phillip Orozco,139-156-9077x3077,jakelee@patel-cooke.biz,Warm,No,No,Sent Info via Email,Booked Another Visit
2025-01-19,2025-02-23,Derek Baird,902.050.2428x601,bakergary@craig-wilson.info,Cold,No,No,Visited,Booked Another Visit
2025-03-26,2025-04-05,Karen Smith,066.699.5582,rachel61@hotmail.com,Warm,No,No,Follow Up with Another Call,Still Deciding
2025-01-16,2025-03-26,Alyssa Diaz,1055680494,markpeters@graham-white.net,Cold,Yes,No,Follow Up with Another Call,Purchased
2025-03-04,2025-03-22,Ashley Ho,3213103737,stevenwilson@willis.org,Cold,Yes,No,Visited,Purchased
2025-01-20,2025-03-15,Andrew Pitts,568.444.2191,alexandria97@smith.net,Cold,Yes,Yes,Visited,Purchased
2025-02-09,2025-03-09,Rachel Lewis,988.542.6533x37816,austintaylor@yahoo.com,Hot,No,No,Follow Up with Another Call,Purchased
2025-03-16,2025-03-30,Megan Gray,605-706-2079x14727,edavid@patton.org,Cold,No,No,Booked Site Visit,Purchased
2025-03-28,2025-03-29,Daniel Mendez,(554)730-3624x354,danielhester@gmail.com,Cold,Yes,No,Follow Up with Another Call,Still Deciding
2025-01-22,2025-03-17,Timothy Henderson,(029)638-5116x67529,elizabeth31@yahoo.com,Hot,No,No,Not Interested,Still Deciding
2025-03-09,2025-03-11,Derek Kim,914.454.1788,brownashley@pruitt.com,Warm,No,No,Not Interested,Still Deciding
2025-02-13,2025-02-19,Allen Moyer,940.078.9179,cheryl50@galvan-carey.info,Cold,No,No,Booked Site Visit,Purchased
2025-01-09,2025-01-26,Brittany Smith,1075697242,ppace@hotmail.com,Cold,No,No,Sent Info via Email,Purchased
2025-03-25,2025-04-08,Katherine Huff,(161)792-3043,fergusondonna@hotmail.com,Cold,No,No,Follow Up with Another Call,Purchased
2025-03-04,2025-03-10,Robert White,027-119-4507x19184,christopher09@yahoo.com,Warm,No,No,Follow Up with Another Call,Still Deciding
2025-03-29,2025-04-01,Samantha Brooks,+1-014-998-2885x5866,dsanchez@gates.org,Cold,No,No,Follow Up with Another Call,Booked Another Visit
2025-02-04,2025-03-29,Marc Levy,+1-128-318-4335x5221,pvance@carter.com,Cold,No,No,Visited,Still Deciding
2025-02-24,2025-03-11,Mrs. Suzanne Spencer DVM,740.018.8694x92743,nrodriguez@yahoo.com,Hot,No,No,Booked Site Visit,Still Deciding
2025-02-25,2025-03-29,Elizabeth Yang,404-212-0427x0972,vharris@combs-marshall.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-03-26,2025-04-03,Kristine Marshall,001-812-952-5448,wdouglas@hotmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-01-28,2025-03-09,Stephanie Williams,6791759825,adamevans@phillips-gray.biz,Cold,Yes,No,Booked Site Visit,Still Deciding
2025-03-01,2025-03-14,Brenda Jones,603.351.1355,gail28@hamilton.com,Cold,Yes,Yes,Did Not Pick,Purchased
2025-01-29,2025-03-22,Patricia Grant,(585)862-1605x198,carolinesmith@gmail.com,Cold,No,No,Sent Info via Email,Not Interested
2025-03-07,2025-03-13,Jessica Shaw,+1-417-363-3606x78284,rbradley@hotmail.com,Warm,Yes,No,Sent Info via Email,Still Deciding
2025-04-02,2025-04-07,Emily Rogers,273-935-6542,nicholasboone@gmail.com,Hot,No,No,Agents,Still Deciding
2025-03-11,2025-03-30,Edward Butler,647.312.1342,mreid@yahoo.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-03-22,2025-04-01,Jessica Cervantes,011.385.1321x9364,jaylopez@hotmail.com,Hot,No,No,Visited,Not Interested
2025-01-16,2025-03-22,Jose Hicks,301.170.8387,leslie12@gmail.com,Warm,No,No,Booked Site Visit,Purchased
2025-02-13,2025-02-16,John Davis,001-492-471-7794,amyhaynes@hotmail.com,Cold,Yes,Yes,Not Interested,Still Deciding
2025-01-21,2025-01-22,Samantha Ferguson,(922)787-8843x716,daviskyle@howe.org,Cold,Yes,Yes,Agents,Purchased
2025-02-11,2025-04-06,Jennifer Lawrence,(160)397-1811x815,randall71@martin.com,Cold,Yes,Yes,Did Not Pick,Purchased
2025-04-01,2025-04-02,Melissa Solis,040.852.2614x068,sjohnson@gmail.com,Hot,No,No,Follow Up with Another Call,Still Deciding
2025-02-06,2025-02-27,Jack Wright,001-492-392-8356x742,hernandezkristin@schmidt.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-01-15,2025-02-25,Steven Rojas,+1-444-781-9284,stephanieclark@yahoo.com,Cold,Yes,Yes,Sent Info via Email,Still Deciding
2025-03-13,2025-04-02,Stephanie Chung,(084)307-4930,johnsonchristian@hotmail.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-02-14,2025-03-26,Heather Green,218.376.5658,nancy45@yahoo.com,Hot,No,No,Other Interests,Booked Another Visit
2025-04-07,2025-04-07,Angela Pittman,542-577-6555,jasmin44@gmail.com,Cold,No,No,Other Interests,Still Deciding
2025-01-10,2025-03-11,Samuel Frederick,(510)544-4132,qwilson@reyes.org,Warm,Yes,No,Follow Up with Another Call,Still Deciding
2025-01-15,2025-04-06,William Rodriguez,601-220-7762x433,navarrokrista@taylor-bird.com,Hot,No,No,Not Interested,Purchased
2025-03-17,2025-03-30,Christopher Jackson,023-863-5032,bryan41@gmail.com,Cold,No,No,Visited,Not Interested
2025-03-02,2025-03-26,Mandy Riggs,289.864.8424,whitemary@morris-rivera.com,Cold,No,No,Did Not Pick,Purchased
2025-02-18,2025-04-05,Joshua Davenport,+1-981-192-9537x550,scott25@chan-nash.com,Cold,Yes,Yes,Not Interested,Not Interested
2025-02-27,2025-03-28,Robert Frederick,309-711-8127x609,lori61@hill.com,Hot,Yes,Yes,Other Interests,Not Interested
2025-02-19,2025-02-20,Jeffrey Gonzalez,001-967-125-5139x043,pamela21@hamilton.com,Cold,No,No,Visited,Purchased
2025-02-24,2025-03-27,Ryan Cervantes,001-296-379-2320x287,lisadavis@hotmail.com,Hot,Yes,Yes,Booked Site Visit,Booked Another Visit
2025-02-16,2025-03-27,Colleen Wells,968-133-9695,marisajenkins@hotmail.com,Cold,Yes,Yes,Visited,Not Interested
2025-02-19,2025-03-22,Rose Buchanan,174-924-8071x2591,edwardayala@gmail.com,Cold,No,No,Not Interested,Not Interested
2025-04-08,2025-04-08,Mr. Cole Davis,556-854-0887,andrew21@yahoo.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-03-29,2025-04-02,David Johnson,1766725768,mary60@yahoo.com,Warm,Yes,Yes,Visited,Still Deciding
2025-03-04,2025-04-03,Scott Blair,(684)324-8014,rmarshall@berry.info,Warm,Yes,Yes,Booked Site Visit,Purchased
2025-03-11,2025-04-08,Theresa Phillips,+1-468-950-2112,miguelcollins@butler.biz,Cold,No,No,Booked Site Visit,Still Deciding
2025-04-04,2025-04-08,James Miles,330-836-0912x9112,lisa22@gmail.com,Warm,Yes,No,Booked Site Visit,Not Interested
2025-01-19,2025-03-05,Suzanne Robbins,001-956-673-3485x6894,michael35@stephenson-davis.com,Hot,No,No,Booked Site Visit,Not Interested
2025-04-03,2025-04-04,Candice Hunter,6283634314,ymorgan@burns.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-01-17,2025-02-16,Douglas Scott,6378106639,emilyhunt@hunter-thompson.info,Warm,Yes,No,Other Interests,Booked Another Visit
2025-01-31,2025-04-06,Ronald Rivera,728-975-0297,skinnergeorge@hotmail.com,Cold,No,No,Did Not Pick,Not Interested
2025-01-10,2025-01-10,Dr. Jonathon Taylor,9157128255,mistyadams@conley.org,Warm,Yes,Yes,Other Interests,Not Interested
2025-03-27,2025-03-29,Gina Salinas,166-068-0918,mckinneybernard@taylor.com,Warm,Yes,Yes,Sent Info via Email,Not Interested
2025-02-11,2025-03-31,Mary Gilbert,5253386886,jamiejones@yahoo.com,Cold,Yes,Yes,Booked Site Visit,Not Interested
2025-03-24,2025-03-28,Emily Rojas,(381)580-2432,kjuarez@hotmail.com,Hot,No,No,Not Interested,Still Deciding
2025-04-02,2025-04-03,Steven Fletcher,423-970-2818,marshallangela@rivera.com,Hot,Yes,Yes,Agents,Not Interested
2025-02-10,2025-03-21,Mary Bowers,849.955.0834,ybates@russell.org,Cold,No,No,Other Interests,Purchased
2025-01-17,2025-03-21,Monique Fox,001-535-372-5085,chavezbrandy@richard.com,Hot,Yes,Yes,Sent Info via Email,Still Deciding
2025-03-01,2025-03-26,Gabriel Reynolds,517-647-3431,ronald71@yahoo.com,Cold,Yes,No,Sent Info via Email,Not Interested
2025-03-07,2025-03-19,Mark Bernard,701.847.0484,tgarza@yahoo.com,Warm,Yes,No,Follow Up with Another Call,Still Deciding
2025-01-22,2025-02-27,Christina Weaver,559.199.3426x63083,russellmike@wilkins.com,Warm,No,No,Other Interests,Not Interested
2025-03-31,2025-04-06,Marisa Reyes,370-239-7807,christopher61@foster-matthews.com,Cold,No,No,Agents,Not Interested
2025-04-07,2025-04-08,Timothy Ford,+1-954-706-5480x9425,thoffman@gmail.com,Warm,Yes,Yes,Did Not Pick,Still Deciding
2025-01-09,2025-03-02,Jessica Bray,553.382.0096x4109,amber27@robinson.com,Warm,Yes,No,Booked Site Visit,Booked Another Visit
2025-01-11,2025-03-13,Kyle Collier,(617)384-8253,umiller@gmail.com,Cold,No,No,Visited,Still Deciding
2025-02-18,2025-03-11,Melissa Short,260.721.9378x801,walkerbryan@hotmail.com,Warm,Yes,No,Not Interested,Not Interested
2025-02-24,2025-03-13,Alexander Collins,6279019861,michael51@dean-gray.org,Hot,No,No,Sent Info via Email,Still Deciding
2025-01-10,2025-01-15,Lisa Lawrence,2694717252,joshuagarcia@yahoo.com,Warm,No,No,Agents,Still Deciding
2025-03-30,2025-03-31,Laurie Silva,(646)982-3968,caitlincohen@roberts.info,Hot,No,No,Other Interests,Booked Another Visit
2025-03-17,2025-03-22,Juan Davis,507-057-3723,blewis@horn-lopez.net,Cold,No,No,Agents,Not Interested
2025-02-10,2025-03-26,Michael Murillo,443.883.7151,svasquez@yahoo.com,Hot,Yes,Yes,Sent Info via Email,Still Deciding
2025-02-05,2025-03-20,Michael Gibbs,001-384-588-0652x11195,courtney64@patton.com,Cold,No,No,Booked Site Visit,Not Interested
2025-02-13,2025-03-03,Andrew Curtis,(462)688-9273,daisywoods@hotmail.com,Cold,No,No,Did Not Pick,Booked Another Visit
2025-03-11,2025-03-17,Amber Ross,+1-000-961-1559x1298,jose11@hotmail.com,Warm,No,No,Did Not Pick,Still Deciding
2025-02-22,2025-02-24,Jordan Valdez,+1-676-514-0151x6141,erica79@baker-oneill.info,Hot,Yes,Yes,Other Interests,Still Deciding
2025-02-25,2025-04-02,David Morris,687.959.7604,patelelizabeth@hotmail.com,Hot,No,No,Follow Up with Another Call,Booked Another Visit
2025-03-18,2025-03-30,Gina Holland,898-664-8448,charles28@hotmail.com,Warm,Yes,No,Not Interested,Not Interested
2025-04-05,2025-04-08,Alan Molina,(761)655-5857,peggyrice@murillo.org,Warm,No,No,Follow Up with Another Call,Not Interested
2025-03-29,2025-04-01,Cynthia Dickson,(378)390-9462x2578,henrymark@bradley.com,Cold,No,No,Sent Info via Email,Booked Another Visit
2025-04-01,2025-04-01,Richard Schmidt,(489)526-6839x686,mezaregina@yahoo.com,Cold,Yes,No,Visited,Not Interested
2025-02-25,2025-03-12,Michelle Simmons,+1-791-765-0019x878,cfitzpatrick@lamb.com,Cold,No,No,Other Interests,Still Deciding
2025-02-16,2025-02-22,Daniel Beltran,673-992-6594x752,mcampos@woods-green.com,Warm,Yes,No,Agents,Still Deciding
2025-02-22,2025-03-18,Elizabeth Bradford,(846)618-5982,ewoods@arias-perez.com,Warm,Yes,Yes,Visited,Still Deciding
2025-02-26,2025-03-12,Dana Elliott,838-332-1146x3774,ryancurry@yahoo.com,Warm,Yes,Yes,Did Not Pick,Not Interested
2025-03-30,2025-04-07,Crystal Mueller,852-875-0743,alevine@hansen-roberts.com,Hot,No,No,Did Not Pick,Still Deciding
2025-01-19,2025-01-23,Sandy Acevedo,073.429.5114,dianekirk@griffin.info,Warm,Yes,Yes,Agents,Still Deciding
2025-01-15,2025-01-31,Robert Johnson,(170)371-7124,graykrista@long.com,Hot,No,No,Booked Site Visit,Not Interested
2025-03-19,2025-03-22,Gary Lowe,6214952545,collinscarol@smith.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-27,2025-04-02,Mr. Jonathan Johnson,001-584-090-9466,sarahfowler@williams.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-02-24,2025-03-21,Lydia Woodard,884-331-2452x5364,rhart@yahoo.com,Warm,No,No,Other Interests,Still Deciding
2025-02-04,2025-02-23,Edward Barrett,+1-238-777-7325x74307,greenryan@robinson.com,Cold,Yes,Yes,Follow Up with Another Call,Purchased
2025-03-21,2025-03-23,Elizabeth Taylor,198-832-3636x06369,fwarren@hotmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-16,2025-03-09,Evelyn Moore,001-661-989-4929x4080,catherinephillips@lindsey.com,Hot,No,No,Other Interests,Still Deciding
2025-02-13,2025-02-15,Jennifer Mckay,+1-454-986-9850x92360,jonathan86@martinez-parker.com,Hot,Yes,No,Other Interests,Purchased
2025-03-20,2025-03-29,Paul Jones,+1-790-944-8637x35799,cruzkimberly@brown.com,Warm,Yes,Yes,Agents,Still Deciding
2025-03-13,2025-03-23,Kyle Andrews,(587)551-9616x8389,jessicamay@yahoo.com,Cold,No,No,Agents,Still Deciding
2025-03-02,2025-03-03,Geoffrey Owen,(835)053-6531,eduardobeck@gmail.com,Warm,No,No,Agents,Still Deciding
2025-02-22,2025-03-29,Keith Wilson,928-499-6955,patriciatorres@alexander.com,Cold,No,No,Follow Up with Another Call,Not Interested
2025-02-13,2025-02-23,Edward Edwards,399-393-6183,brandon71@yahoo.com,Cold,No,No,Did Not Pick,Booked Another Visit
2025-01-12,2025-01-20,Jasmine Mendez,005.752.3260x391,suttonbrandon@dennis.com,Warm,No,No,Visited,Not Interested
2025-04-07,2025-04-08,Theresa Williams,543-399-5355,nobrien@williams-gibson.biz,Cold,No,No,Sent Info via Email,Purchased
2025-03-02,2025-03-13,William Robbins,5469332102,psloan@holland-brady.org,Cold,Yes,Yes,Other Interests,Not Interested
2025-02-24,2025-02-26,Stephanie Romero,1154066164,bray@hotmail.com,Hot,No,No,Follow Up with Another Call,Still Deciding
2025-03-26,2025-04-06,Amy Wilson,612-599-8382x43510,millsbrenda@hotmail.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-01-30,2025-03-27,Vanessa Warren,344-108-4142x245,jeremysmith@keller.biz,Cold,No,No,Other Interests,Still Deciding
2025-02-12,2025-03-01,Tracy Murphy,001-937-894-6534x89671,avilageorge@hotmail.com,Cold,Yes,Yes,Did Not Pick,Still Deciding
2025-02-15,2025-03-13,Blake Burns,425.787.0314x486,kingtara@reeves.biz,Cold,No,No,Agents,Booked Another Visit
2025-03-28,2025-04-02,Cynthia Cox,448-309-4493x8755,oweiss@chavez.com,Hot,No,No,Booked Site Visit,Not Interested
2025-04-05,2025-04-06,Keith Johnson,001-104-722-2690x831,davidgonzalez@peters.info,Cold,Yes,Yes,Follow Up with Another Call,Not Interested
2025-02-07,2025-02-11,Mary Benson,+1-194-106-1058,randall34@gmail.com,Warm,Yes,Yes,Sent Info via Email,Still Deciding
2025-01-17,2025-04-07,Jessica Martin,199.107.8889,timatkinson@gmail.com,Cold,No,No,Booked Site Visit,Booked Another Visit
2025-03-16,2025-04-04,Jill Davis,+1-821-709-9582,michellemeyer@barnes.com,Warm,Yes,No,Other Interests,Still Deciding
2025-03-12,2025-03-24,Brian Davis,+1-270-124-0121x3546,anne04@miller-leon.com,Cold,Yes,Yes,Follow Up with Another Call,Not Interested
2025-01-15,2025-03-01,Alyssa Mccarthy,428.169.4599x36658,michelle71@hotmail.com,Cold,No,No,Visited,Still Deciding
2025-01-20,2025-01-21,Benjamin Hall,051.185.3072x7465,wtaylor@wilkinson.com,Cold,Yes,Yes,Other Interests,Booked Another Visit
2025-01-30,2025-03-04,Bruce Wright,043-783-9688x252,tgomez@martin.biz,Cold,No,No,Did Not Pick,Still Deciding
2025-02-09,2025-03-25,Randy Johnson,(500)021-0471x600,lesliecollins@gmail.com,Warm,Yes,Yes,Did Not Pick,Purchased
2025-02-26,2025-02-28,Jennifer Lynch,485.154.6937,ashleyweeks@gmail.com,Warm,Yes,Yes,Agents,Still Deciding
2025-01-16,2025-03-29,Philip Mack,001-979-441-8000x88900,floresjonathan@crawford-brown.net,Warm,No,No,Other Interests,Still Deciding
2025-03-22,2025-03-28,Michael Garcia,510.978.4101,omarhuerta@hernandez.com,Warm,Yes,Yes,Visited,Not Interested
2025-01-21,2025-02-21,Eric Sanchez,001-409-895-4513x02285,courtneyfoster@brown.com,Warm,Yes,Yes,Sent Info via Email,Not Interested
2025-03-24,2025-04-06,Christopher Greer,001-587-179-3093x075,xsullivan@moore.com,Warm,Yes,No,Not Interested,Purchased
2025-03-16,2025-03-28,Carolyn Diaz,001-805-623-2909,richardmcdaniel@gmail.com,Cold,No,No,Agents,Purchased
2025-03-26,2025-03-29,Mark Collins,204.789.5966,thomaschavez@abbott.com,Cold,No,No,Did Not Pick,Still Deciding
2025-01-09,2025-01-25,Tracy Higgins,641-457-0739x70229,lindsay19@hotmail.com,Warm,No,No,Other Interests,Booked Another Visit
2025-02-22,2025-02-28,Henry Hammond,001-704-213-9705x694,zmcintosh@gmail.com,Warm,No,No,Booked Site Visit,Purchased
2025-02-12,2025-03-16,Angela Walker,(022)594-4961,hwilliams@hess-powers.com,Hot,Yes,No,Booked Site Visit,Purchased
2025-02-22,2025-03-31,Gerald Collins,235.000.4680x68318,david17@mclean.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-02-03,2025-02-13,William Lloyd,(894)633-7918x96689,yangjerry@jones.com,Hot,Yes,No,Other Interests,Still Deciding
2025-01-13,2025-04-01,Briana Clark,(579)089-3692,davisandrew@hotmail.com,Hot,Yes,Yes,Sent Info via Email,Still Deciding
2025-03-10,2025-03-13,Daniel Allen,113-064-2129x56293,jwilson@hotmail.com,Cold,Yes,Yes,Agents,Not Interested
2025-01-22,2025-02-17,Robert Green,+1-951-605-3622x04602,brenda21@hinton.org,Hot,No,No,Visited,Still Deciding
2025-02-19,2025-03-22,Courtney Lynch,+1-015-055-1619x5614,patrickmalone@lane.com,Warm,Yes,Yes,Agents,Still Deciding
2025-03-18,2025-03-27,Jessica Harrell,+1-953-873-5240x8023,smithjacqueline@yahoo.com,Cold,Yes,Yes,Booked Site Visit,Not Interested
2025-01-16,2025-02-08,Mr. Robert Smith DVM,586.173.9686,solomonpatrick@yahoo.com,Cold,No,No,Did Not Pick,Not Interested
2025-01-15,2025-02-26,Timothy George,033.278.3195,strongmark@hotmail.com,Cold,No,No,Not Interested,Not Interested
2025-01-30,2025-03-05,Melissa Roberson,591-078-0703x799,hpalmer@moran.org,Cold,Yes,No,Sent Info via Email,Still Deciding
2025-03-05,2025-03-31,Hector Hansen,747.927.0604x0900,leonardfaulkner@gmail.com,Warm,No,No,Other Interests,Not Interested
2025-01-13,2025-01-28,Mary Wong,828-469-5393x14343,qwilliams@pearson.info,Warm,Yes,Yes,Other Interests,Purchased
2025-02-01,2025-03-31,Jennifer Harris,001-879-113-4508,adam44@hill.org,Warm,Yes,Yes,Booked Site Visit,Not Interested
2025-03-28,2025-03-29,Aaron Hall,001-908-394-7914x3761,moorestephanie@smith.com,Warm,No,No,Visited,Still Deciding
2025-01-28,2025-03-30,Michael Davis,141.451.8133x9101,monique63@luna-wilson.com,Cold,No,No,Other Interests,Still Deciding
2025-02-14,2025-02-17,William Harvey,311-095-1286,jeffrey53@hotmail.com,Cold,Yes,Yes,Sent Info via Email,Not Interested
2025-03-08,2025-03-11,Brian George,+1-824-476-6458x87091,qwilson@gmail.com,Cold,Yes,No,Follow Up with Another Call,Still Deciding
2025-04-03,2025-04-08,Marie Huffman MD,(090)057-1139,franklinandrew@hotmail.com,Cold,Yes,Yes,Booked Site Visit,Still Deciding
2025-02-21,2025-03-18,Jennifer Hernandez,+1-173-761-7410x95285,crystal28@hotmail.com,Cold,No,No,Not Interested,Purchased
2025-02-21,2025-02-26,Thomas Fitzgerald,001-048-080-4938x2254,pattonluis@davidson-garcia.com,Cold,Yes,Yes,Sent Info via Email,Booked Another Visit
2025-01-15,2025-03-01,Jacob Nelson Jr.,434.790.9711x86092,barrrobert@gmail.com,Cold,No,No,Other Interests,Still Deciding
2025-02-23,2025-04-01,Kylie Rodriguez,988-421-9020x76109,caldwelljames@gmail.com,Hot,No,No,Not Interested,Still Deciding
2025-03-13,2025-04-06,Nicholas Little,001-871-124-5703x53516,eduardolara@hotmail.com,Cold,No,No,Agents,Purchased
2025-02-18,2025-03-09,Tara Rogers,385-324-2863,derrickgreer@yahoo.com,Cold,No,No,Follow Up with Another Call,Not Interested
2025-02-24,2025-03-31,Elizabeth Mills,(177)492-7838,lisamoses@lang.com,Warm,Yes,Yes,Other Interests,Still Deciding
2025-02-28,2025-03-09,Steven Payne,(062)119-6523,ayalaanthony@yahoo.com,Warm,Yes,Yes,Did Not Pick,Purchased
2025-01-20,2025-03-27,Virginia Aguilar,001-278-139-5213x416,zhenderson@hotmail.com,Hot,No,No,Not Interested,Not Interested
2025-02-16,2025-02-16,Brittney Thomas,699-316-7110x127,haasjohn@frey.com,Cold,Yes,Yes,Booked Site Visit,Purchased
2025-03-09,2025-04-05,Jesse Nelson,170-954-1785,kelligibson@yahoo.com,Cold,No,No,Did Not Pick,Not Interested
2025-01-21,2025-02-10,Erik Sanders,3346910662,omurphy@hotmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-01,2025-02-11,Mr. David David,001-625-366-8279x25555,nmartinez@raymond.biz,Hot,No,No,Visited,Booked Another Visit
2025-03-01,2025-04-06,Cynthia Thompson,(668)154-7073,stephen66@dixon.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-03-07,2025-03-23,Mike Hess,(529)583-4072x656,kmay@hansen.com,Cold,No,No,Not Interested,Not Interested
2025-01-15,2025-03-19,Paul Acevedo,560-919-9560,philip26@hotmail.com,Warm,Yes,Yes,Not Interested,Purchased
2025-01-15,2025-02-01,Pamela Alvarado,235-443-2526x52341,haleheather@jones-guerra.com,Hot,No,No,Sent Info via Email,Not Interested
2025-03-22,2025-04-08,Christopher Campos,+1-052-526-5513x47671,mhamilton@yahoo.com,Cold,No,No,Not Interested,Still Deciding
2025-01-13,2025-03-22,David Anderson,001-375-314-3952,xlyons@gmail.com,Warm,No,No,Other Interests,Purchased
2025-04-03,2025-04-05,Robert Young,6397064234,pweeks@mcdaniel.biz,Hot,Yes,Yes,Did Not Pick,Still Deciding
2025-02-27,2025-03-25,Anne Wilson,438-612-7487x289,mercadosharon@jones-oconnor.com,Hot,No,No,Booked Site Visit,Not Interested
2025-03-03,2025-03-14,James Espinoza,001-103-362-6682x476,jeffbenson@phillips.net,Cold,Yes,Yes,Not Interested,Still Deciding
2025-03-29,2025-04-04,Amber Williams,187.508.1233x167,dhenry@cunningham.org,Cold,No,No,Not Interested,Not Interested
2025-03-28,2025-03-29,Gregory Hodges,(096)531-6810x4175,michaelharrison@ferrell-wallace.biz,Warm,No,No,Booked Site Visit,Still Deciding
2025-02-06,2025-02-28,Matthew Gross,011.453.2232x459,pvasquez@maldonado.com,Warm,Yes,Yes,Other Interests,Purchased
2025-02-12,2025-03-27,Jose Perkins,+1-096-699-2124x3982,kristen23@hotmail.com,Hot,Yes,No,Did Not Pick,Still Deciding
2025-02-18,2025-02-28,Katherine Barton,(780)391-6924,jeffrey56@cooper.net,Cold,No,No,Did Not Pick,Still Deciding
2025-01-21,2025-02-04,Kayla Brown,1993156293,xfreeman@poole.com,Cold,Yes,Yes,Booked Site Visit,Still Deciding
2025-02-13,2025-03-11,Melissa Carroll,250-104-3146x77609,joshuataylor@kennedy.com,Cold,No,No,Not Interested,Not Interested
2025-02-12,2025-02-25,Eric Cooper,299-222-7440x021,reidkyle@gmail.com,Warm,Yes,Yes,Not Interested,Still Deciding
2025-02-19,2025-03-28,Catherine Williamson,(283)233-2657,jthomas@johnson.org,Hot,No,No,Did Not Pick,Purchased
2025-02-19,2025-04-04,Renee Howe,(928)878-0634x958,munozcaleb@wilson.com,Cold,Yes,Yes,Booked Site Visit,Still Deciding
2025-04-05,2025-04-05,William Moore DDS,001-909-141-1090x636,adamsbrian@proctor-black.org,Cold,No,No,Other Interests,Still Deciding
2025-02-23,2025-04-06,Kristina Woods,001-209-729-6482x754,wayne30@hubbard.com,Warm,No,No,Not Interested,Still Deciding
